"시점",전국,수도권,지방,서울,서울,서울,서울,서울,서울,광역시,광역시,광역시,광역시,광역시,광역시,세종,도,도,도,도,도,도,도,도,도
"시점",소계,소계,소계,서울,도심권,동북권,동남권,서북권,서남권,부산,대구,인천,광주,대전,울산,소계,경기,강원,충북,충남,전북,전남,경북,경남,제주
"2014.04",290.6,379.7,225.1,553.4,660.9,454.4,843.1,504.3,489.4,269.7,269.0,268.9,203.6,247.6,263.9,191.7,325.8,157.6,202.1,207.4,172.8,149.1,179.3,242.9,219.9
"2014.05",292.3,380.2,226.5,558.3,620.1,450.3,846.0,510.1,491.0,270.6,272.2,271.0,204.4,249.3,268.6,201.4,327.7,158.1,207.9,210.5,170.0,150.4,179.1,243.4,232.3
"2014.06",298.9,389.9,228.0,567.6,660.1,450.4,863.5,502.1,497.5,271.7,279.7,274.8,206.0,247.5,268.2,190.2,333.5,158.3,206.1,212.5,173.6,153.6,178.7,247.2,241.0
"2014.07",310.2,402.9,230.4,583.0,662.6,452.9,866.2,518.1,498.4,277.3,282.3,279.8,213.4,246.1,268.7,201.9,339.7,158.6,208.1,220.2,172.5,149.8,179.7,250.9,235.3
"2014.08",327.5,408.6,235.0,593.3,673.7,463.7,872.3,531.1,505.0,280.4,287.6,277.6,216.7,249.7,269.2,231.4,345.1,162.4,213.1,214.3,177.2,151.9,186.5,249.5,236.7
"2014.09",325.0,409.0,236.8,583.0,659.1,460.0,869.2,520.8,516.6,280.9,288.8,279.0,219.4,250.9,271.9,204.6,345.3,159.7,211.8,217.6,174.8,150.6,188.0,255.9,234.5
"2014.10",314.4,402.4,238.6,580.3,670.9,467.6,861.3,532.5,502.8,281.3,296.4,282.0,218.6,255.8,272.2,223.9,340.8,161.6,219.3,215.5,179.6,154.0,188.1,252.3,253.8
"2014.11",311.0,398.7,238.7,567.6,653.1,473.1,836.1,528.7,499.2,282.8,301.9,289.1,225.2,254.7,275.4,216.0,344.2,163.2,216.8,213.3,181.5,156.5,188.8,252.7,244.7
"2014.12",320.9,415.3,239.2,589.3,675.5,476.2,864.2,532.0,505.2,290.3,305.7,291.2,224.0,255.5,276.6,203.8,351.1,159.6,214.4,211.0,185.1,153.4,193.0,246.7,241.0
"2015.01",329.8,417.0,239.6,585.2,685.1,470.1,851.7,536.8,502.6,289.1,307.8,290.7,223.1,258.4,277.7,227.8,350.7,172.0,210.9,212.6,182.4,158.5,192.3,251.5,250.8
"2015.02",338.6,423.6,239.9,589.2,685.3,472.3,869.2,539.4,509.4,288.7,309.6,288.7,227.8,255.7,278.6,241.8,353.6,165.7,214.2,218.7,182.0,159.0,194.4,249.3,251.8
"2015.03",340.8,423.0,242.5,590.8,703.6,475.6,895.9,539.5,514.2,290.7,314.8,286.5,224.9,245.8,280.0,243.3,352.4,172.3,213.3,214.9,178.4,156.5,194.7,246.7,249.7
"2015.04",339.2,427.7,243.5,601.2,720.4,475.6,918.3,544.3,522.7,292.8,317.3,288.0,228.0,245.5,279.3,236.3,353.2,169.8,206.5,216.0,179.9,156.9,194.9,249.6,271.3
"2015.05",343.7,430.9,246.3,608.9,718.0,482.6,935.6,553.7,516.6,295.1,323.5,295.6,229.8,249.5,285.5,235.5,354.6,171.3,213.5,219.7,180.1,159.3,193.3,252.1,276.6
"2015.06",344.9,431.4,246.2,599.6,700.6,478.3,929.0,561.6,529.3,294.4,330.7,293.4,232.6,247.8,285.3,214.1,358.5,168.6,210.9,214.3,179.6,155.6,195.0,253.6,284.1
"2015.07",352.6,439.2,249.8,604.7,708.0,487.2,924.6,554.3,531.1,302.9,333.8,300.2,232.9,256.6,290.4,241.4,364.6,171.5,205.3,218.3,179.6,157.6,195.2,252.1,307.8
"2015.08",341.2,426.2,244.0,595.2,728.1,491.6,905.5,554.8,534.3,302.9,330.1,302.4,237.7,256.6,290.1,235.1,358.3,177.0,205.8,213.1,179.0,156.9,195.0,249.4,318.2
"2015.09",353.1,443.3,249.8,616.3,717.9,496.8,951.1,561.1,546.3,306.6,341.5,308.6,245.5,253.3,300.1,249.5,370.4,179.0,208.8,212.7,182.4,160.9,195.3,254.3,320.7
"2015.10",356.5,452.8,253.0,644.6,739.1,508.8,964.5,578.0,560.8,309.8,334.9,317.6,243.7,259.9,301.3,240.0,372.1,179.0,209.8,214.1,185.5,165.1,191.3,258.9,357.0
"2015.11",354.1,463.0,250.3,666.8,760.3,516.0,981.1,574.2,570.7,314.4,325.3,322.3,246.7,263.5,305.1,230.1,372.3,183.5,206.2,215.1,184.4,163.2,189.6,253.3,345.9
"2015.12",328.4,435.1,241.2,627.6,733.1,514.2,917.7,556.2,555.8,303.8,312.3,309.6,246.2,266.8,303.3,223.9,358.3,181.1,197.1,210.4,185.7,167.1,185.8,244.8,347.2
"2016.01",328.9,430.2,238.2,616.0,709.8,502.6,925.4,564.9,549.0,304.5,315.1,307.1,242.9,259.2,305.7,247.5,357.3,187.2,201.8,209.8,185.4,167.5,182.5,239.8,354.9
"2016.02",334.7,435.1,240.4,614.0,702.2,501.1,939.6,545.8,556.7,306.1,320.4,308.0,250.4,262.0,303.4,271.2,362.3,186.6,202.1,207.3,185.0,166.9,179.8,244.4,347.8
"2016.03",345.5,445.7,239.4,639.2,747.8,508.5,1011.8,561.5,546.5,308.0,315.1,303.7,243.1,251.5,305.0,265.8,364.2,188.9,202.1,204.3,182.4,162.3,180.7,240.2,350.0
"2016.04",374.1,479.1,243.7,682.4,737.5,520.5,1039.7,578.8,572.8,314.2,309.6,311.4,240.4,256.2,309.1,253.0,376.4,191.5,205.3,202.8,182.4,163.9,180.7,242.4,357.0
"2016.05",385.4,485.9,243.2,689.8,771.2,521.6,1034.4,584.9,589.7,322.7,305.1,312.1,241.2,260.9,298.7,246.7,381.7,187.7,202.0,200.6,182.0,162.5,177.8,239.9,351.4
